backbone,stage,epochs_requested,combined_train_size,val_size,use_cutmix,best_epoch,best_val_loss,best_val_balanced_accuracy,best_val_macro_auc,auc_AK,auc_BCC,auc_BKL,auc_DF,auc_MEL,auc_NV,auc_SCC,auc_VASC,history_path,pred_path,report_path,checkpoint_path
densenet121,phase1_plus_2_plus_3,1,3717,386,False,1,1.050567452771676,0.5295833333333334,0.8767449110846648,0.841454802259887,0.9213719185423366,0.8056162915326901,0.9480682839173407,0.8382422293676313,0.8394855305466238,0.8425414364640884,0.9771787960467205,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/metrics/densenet121_phase1_plus_2_plus_3_history.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/preds/densenet121_phase1_plus_2_plus_3_predictions.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/reports/04_ablation_study/densenet121_phase1_plus_2_plus_3_classification_report.json,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_phase1_plus_2_plus_3_best.pt
efficientnet_b0,phase1_plus_2_plus_3_plus_4,1,4956,386,True,1,1.278499485915189,0.41953125,0.8288535495062337,0.811617231638418,0.8763129689174706,0.752368703108253,0.8253369272237197,0.7885959271168275,0.7724330117899251,0.8142265193370166,0.989937106918239,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/metrics/efficientnet_b0_phase1_plus_2_plus_3_plus_4_history.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/preds/efficientnet_b0_phase1_plus_2_plus_3_plus_4_predictions.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/reports/04_ablation_study/efficientnet_b0_phase1_plus_2_plus_3_plus_4_classification_report.json,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_phase1_plus_2_plus_3_plus_4_best.pt
resnet50,phase1_plus_2_plus_3,1,3717,386,False,1,1.2957642881363785,0.46286458333333336,0.8473305332155754,0.8108227401129944,0.8766130760986067,0.8303108252947482,0.8912848158131177,0.7963129689174706,0.8375991425509111,0.7466620626151014,0.9890386343216532,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/metrics/resnet50_phase1_plus_2_plus_3_history.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/preds/resnet50_phase1_plus_2_plus_3_predictions.csv,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/reports/04_ablation_study/resnet50_phase1_plus_2_plus_3_classification_report.json,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_plus_3_best.pt
