label,densenet121,efficientnet_b0,resnet50
AK,0.09570957095709572,0.19471947194719472,0.2607260726072607
BCC,0.5444091990483743,0.7097541633624108,0.5178429817605076
BKL,0.6084558823529411,0.53125,0.5386029411764706
DF,0.6923076923076923,0.5192307692307693,0.5576923076923077
MEL,0.36,0.3688888888888889,0.3933333333333333
NV,0.8378016085790885,0.8780160857908847,0.9128686327077749
SCC,0.386892177589852,0.47357293868921774,0.15856236786469344
VASC,0.9574468085106383,0.8723404255319149,0.8723404255319149
