epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc
1,293.51434421539307,1.3031062545604066,0.9885945008930407,0.6632424124731369,0.9269748441114818
2,281.70986771583557,0.7581565365036789,0.9399157156442342,0.6602072295069756,0.9475872328001342
3,280.360013961792,0.489631757989341,0.8570950580898085,0.7190391016999755,0.9557587261127583
4,280.4642560482025,0.3341148687297073,0.7854956557876185,0.7457248826804288,0.9534516985885737
5,280.1789050102234,0.2352697973529614,0.9026116241279402,0.7394684692616995,0.9519300552301693
