epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,376.16368770599365,1.577030853445379,1.101122192834553,0.6078230092950209,0.9181728691190237,resnet50,phase1_plus_2_plus_3_plus_4,5
2,369.7686984539032,1.3001745630587356,1.0722783289457622,0.6280487498544007,0.9207797926466188,resnet50,phase1_plus_2_plus_3_plus_4,5
3,373.03027391433716,1.1416682952025383,0.8464731743461207,0.7138421090395423,0.9438162494334811,resnet50,phase1_plus_2_plus_3_plus_4,5
4,365.0111472606659,1.073505683880057,0.8524577547374524,0.7002954364665,0.9417304412345059,resnet50,phase1_plus_2_plus_3_plus_4,5
5,378.15442276000977,1.0141530587710725,0.809279615377125,0.7113592151441938,0.9472661597249131,resnet50,phase1_plus_2_plus_3_plus_4,5
