backbone,stage,stage_order,checkpoint_path,n_images,n_lesions,milk_lesion_macro_auc,milk_lesion_bacc,isic_val_macro_auc,isic_val_bacc,milk_lesion_auc_AK,milk_lesion_auc_BCC,milk_lesion_auc_BKL,milk_lesion_auc_DF,milk_lesion_auc_MEL,milk_lesion_auc_NV,milk_lesion_auc_SCC,milk_lesion_auc_VASC,auc_generalization_gap,bacc_generalization_gap,inference_elapsed_hms,delta_isic_val_bacc_from_prev,delta_milk_lesion_bacc_from_prev,delta_bacc_gap_from_prev,bacc_gap_narrowing_from_prev,delta_isic_val_macro_auc_from_prev,delta_milk_lesion_macro_auc_from_prev,delta_auc_gap_from_prev,auc_gap_narrowing_from_prev
resnet50,baseline,0,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_baseline_best.pt,10274,5137,0.6618917454830857,0.26367189928067614,0.957866202280508,0.7426294014147343,0.6087606898877723,0.728655290423243,0.5667439902152893,0.7093941456773315,0.6649839982931514,0.5290349868699258,0.6028892076051915,0.8846716548927809,0.2959744567974223,0.4789575021340582,0:45,,,,,,,,
resnet50,phase1_plus_2,1,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_best.pt,10274,5137,0.8658192661966795,0.5096605782754907,0.965711441228376,0.7789074565740313,0.7188629495965732,0.8811333686124249,0.7728956948553425,0.9120679222449134,0.882379631605149,0.9528691089438975,0.8196255607251259,0.9867198929900096,0.09989217503169656,0.26924687829854055,0:45,0.03627805515929694,0.24598867899481458,-0.20971062383551764,0.20971062383551764,0.007845238947868038,0.20392752071359377,-0.19608228176572573,0.19608228176572573
resnet50,phase1_plus_2_plus_3,2,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_plus_3_best.pt,10274,5137,0.865532007641101,0.5480169869618807,0.9703113470769168,0.7935733308904878,0.6980832961243993,0.8920151993243396,0.7463719566860055,0.9274109371454504,0.8989095133110494,0.9444198863993678,0.8255600905138182,0.9914851816243782,0.10477933943581574,0.24555634392860703,0:45,0.014665874316456495,0.03835640868639001,-0.023690534369933514,0.023690534369933514,0.004599905848540753,-0.00028725855557842905,0.004887164404119182,-0.004887164404119182
resnet50,phase1_plus_2_plus_3_plus_4,3,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8543231080921233,0.5264961328342829,0.967935780256099,0.8108754811948663,0.7112088329230111,0.8765437003319166,0.7645149748338262,0.9026170486347477,0.892396937154778,0.9525827567111133,0.7459357627493572,0.988784851398236,0.11361267216397575,0.28437934836058343,0:45,0.01730215030437854,-0.021520854127597855,0.03882300443197639,-0.03882300443197639,-0.0023755668208177427,-0.011208899548977747,0.008833332728160004,-0.008833332728160004
