epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,313.94954109191895,1.3750979905232346,0.9548833114222476,0.668280897296591,0.9316766444091658,efficientnet_b0,phase1_plus_2,5
2,319.8758625984192,0.9402865109477548,0.7782027804224114,0.7276345996912313,0.947956699926833,efficientnet_b0,phase1_plus_2,5
3,308.37931990623474,0.7733839275135895,0.7358284866182427,0.7526143777023131,0.9547470305882237,efficientnet_b0,phase1_plus_2,5
4,311.53010177612305,0.669580955134638,0.6613746276654695,0.7561454438828179,0.9600935870648976,efficientnet_b0,phase1_plus_2,5
5,307.59376549720764,0.596513693048975,0.6617861313568918,0.7742818160639534,0.9626377380730089,efficientnet_b0,phase1_plus_2,5
