epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,340.1749105453491,1.2299136287862307,0.9686340515237105,0.6595171189655483,0.9305247508963088,densenet121,baseline,5
2,350.5891602039337,0.799451524941368,0.8863301792897677,0.684328700111605,0.9390220593423576,densenet121,baseline,5
3,343.38648414611816,0.5461442918076749,0.7963660685639632,0.737148219674856,0.9522474603013028,densenet121,baseline,5
4,339.34456491470337,0.40647883847578,0.8888246513667859,0.7091670508473535,0.9528082359101877,densenet121,baseline,5
5,343.7440993785858,0.3166831231187564,0.8040744696165386,0.7416119709433814,0.9563214033729439,densenet121,baseline,5
