backbone,stage,checkpoint_path,n_images,n_lesions,milk_lesion_macro_auc,milk_lesion_bacc,isic_val_macro_auc,isic_val_bacc,auc_generalization_gap,bacc_generalization_gap,inference_elapsed_hms
efficientnet_b0,phase1_plus_2_plus_3_plus_4,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8610428182441621,0.5157577667914619,0.94289675622236,0.726747486717388,0.0818539379781979,0.210989719925926,0:53
resnet50,phase1_plus_2_plus_3_plus_4,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8420134673786654,0.4544462764984471,0.9472661597249132,0.7113592151441938,0.1052526923462477,0.2569129386457466,2:26
densenet121,phase1_plus_2_plus_3_plus_4,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8462125102029836,0.4409938052900204,0.9398233492121604,0.6971369716088868,0.0936108390091767,0.2561431663188663,0:54
