epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,351.7298765182495,1.6259483949355544,1.1288047075271606,0.613947376314503,0.9145351972687077,efficientnet_b0,phase1_plus_2_plus_3_plus_4,5
2,344.1267399787903,1.3291302264569989,0.9410553183053669,0.6724880559628905,0.9347070769607815,efficientnet_b0,phase1_plus_2_plus_3_plus_4,5
3,351.2973425388336,1.2455750240782855,0.867597617726577,0.6977908447655784,0.9395889767952357,efficientnet_b0,phase1_plus_2_plus_3_plus_4,5
4,347.5381021499634,1.1811371420242667,0.8093798479280974,0.726747486717388,0.9428967562223599,efficientnet_b0,phase1_plus_2_plus_3_plus_4,5
5,345.3489694595337,1.1037706999864898,0.9284662753657291,0.6955280120701182,0.9357365585154167,efficientnet_b0,phase1_plus_2_plus_3_plus_4,5
