phase_added,delta_milk_lesion_bacc_from_prev,delta_isic_val_bacc_from_prev,bacc_gap_narrowing_from_prev
"Phase 2, geometric",0.26820533617800235,0.0346962510882052,0.23350908508979717
"Phase 4, scale/crop/mixing",0.0209742959240367,0.023509252002892268,-0.002534956078855536
"Phase 3, color",-0.005041921834399101,0.0056281211959097995,-0.010670043030308935
