epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,544.8122727870941,1.0849413299581585,0.883084708389483,0.6750995022000335,0.9437418867385656,densenet121,phase1_plus_2,5
2,548.0240666866302,0.698638537669668,0.8815399774752165,0.6853758270224385,0.9432512312396621,densenet121,phase1_plus_2,5
3,548.3686180114746,0.5259250149481706,0.7229663659396924,0.753116185228337,0.9614735132333694,densenet121,phase1_plus_2,5
4,548.838666677475,0.4316718784135348,0.7118023116337625,0.7608099934255339,0.9623544337138009,densenet121,phase1_plus_2,5
5,549.9866967201233,0.3479384129098663,0.723336470064364,0.7598242873437256,0.963576233604662,densenet121,phase1_plus_2,5
