epoch,epoch_seconds,train_loss,val_loss,val_balanced_accuracy,val_macro_auc,backbone,stage,epochs_requested
1,340.85989141464233,1.311287806356431,0.9864586513920834,0.6424601088380026,0.928488288584097,resnet50,phase1_plus_2,5
2,336.10522866249084,0.9114815308348865,0.9377014919331199,0.6705563406457058,0.9372620075552585,resnet50,phase1_plus_2,5
3,335.19146966934204,0.7583516681362066,0.8420615993048015,0.7176182155257351,0.9495484407054622,resnet50,phase1_plus_2,5
4,331.15487027168274,0.6172403090757896,0.6817473033854836,0.7611328290909994,0.9590386563679583,resnet50,phase1_plus_2,5
5,330.43811297416687,0.534321402656036,0.7253705461401688,0.7475898236957594,0.9592991877339746,resnet50,phase1_plus_2,5
